,hero,text,num_buffs,num_nerfs,change_type,text_no_abi
10,Bounty Hunter,"[u'Track now provides vision only of the target rather than the area around it', u'Track allied bonus gold reduced from 50/100/150 to 40/80/120']",0,2,"[-1, -1]","[u'now provides vision only of the target rather than the area around it', u'allied bonus gold reduced from 50/100/150 to 40/80/120']"
11,Brewmaster,"[u""Primal Split Storm's Dispel Magic area of effect increased from 200 to 600"", u""Primal Split Storm's Dispel Magic cooldown reduced from 8 to 6 seconds"", u""Primal Split Earth's Hurl Boulder cooldown reduced from 7 to 5 seconds""]",3,0,"[1, 1, 1]","[u""Storm's Dispel Magic area of effect increased from 200 to 600"", u""Storm's Dispel Magic cooldown reduced from 8 to 6 seconds"", u""Earth's Hurl Boulder cooldown reduced from 7 to 5 seconds""]"
12,Bristleback,[u'Bristleback passive  Quill Spray damage threshold reduced from 250 to 230'],1,0,[1],[u'passive   damage threshold reduced from 250 to 230']
13,Broodmother,[],0,0,[],[]
14,Centaur Warrunner,[u'Return strength as bonus damage increased from 26/34/42/50% to 30/42/54/66%'],1,0,[1],[u'strength as bonus damage increased from 26/34/42/50% to 30/42/54/66%']
15,Chaos Knight,"[u""Chaos Strike now lowers the target's armor by 5 for 8 seconds whenever it crits \n\nApplies before the damage happens, like  Desolator. Can be applied by illusions, but multiple instances do not stack. Only triggers when critical strike"", u'Chaos Strike critical damage reduced from 150/200/250/300% to 125/175/225/275%']",1,1,"[1, -1]","[u""now lowers the target's armor by 5 for 8 seconds whenever it crits \n\nApplies before the damage happens, like  Desolator. Can be applied by illusions, but multiple instances do not stack. Only triggers when critical strike"", u'critical damage reduced from 150/200/250/300% to 125/175/225/275%']"
16,Chen,"[u'Penitence slow/damage amplification increased from 14/18/22/26% to 15/20/25/30%', u'Test of Faith (Damage) mana cost reduced from 175 to 90/100/110/120', u'Test of Faith (Damage) cooldown reduced from 24 to 16']",3,0,"[1, 1, 1]","[u'slow/damage amplification increased from 14/18/22/26% to 15/20/25/30%', u'(Damage) mana cost reduced from 175 to 90/100/110/120', u'(Damage) cooldown reduced from 24 to 16']"
17,Clinkz,[u'Strafe cooldown reduced from 45/40/35/30 to 40/35/30/25'],1,0,[1],[u'cooldown reduced from 45/40/35/30 to 40/35/30/25']
18,Clockwerk,[],0,0,[],[]
19,Crystal Maiden,[u'Crystal Nova cooldown reduced from 15 to 13'],1,0,[1],[u'cooldown reduced from 15 to 13']
20,Dark Seer,[u'Base intelligence reduced by 2'],0,1,[-1],[u'Base intelligence reduced by 2']
21,Dazzle,[u'Poison Touch mana cost reduced from 100/115/130/145 to 100'],1,0,[1],[u'mana cost reduced from 100/115/130/145 to 100']
22,Death Prophet,[u'Exorcism spirits increased from 6/13/21 to 8/14/21'],1,0,[1],[u'spirits increased from 6/13/21 to 8/14/21']
23,Disruptor,"[u'Thunder Strike cooldown reduced from 16 to 12/11/10/9', u'Thunder Strike now only provides vision over the target itself']",1,1,"[1, -1]","[u'cooldown reduced from 16 to 12/11/10/9', u'now only provides vision over the target itself']"
24,Doom,"[u'Scorched Earth damage/heal increased from 12/18/24/30 to 12/24/36/48', u'LVL? Death cooldown reduced from 8 to 7']",2,0,"[1, 1]","[u'damage/heal increased from 12/18/24/30 to 12/24/36/48', u'cooldown reduced from 8 to 7']"
25,Dragon Knight,[u'Breathe Fire debuff duration increased from 8 to 11 seconds'],1,0,[1],[u'debuff duration increased from 8 to 11 seconds']
26,Drow Ranger,"[u'Precision Aura bonus damage increased from 18/24/30/36% to 20/26/32/38%', u'Precision Aura cooldown reduced from 120 to 100']",2,0,"[1, 1]","[u'bonus damage increased from 18/24/30/36% to 20/26/32/38%', u'cooldown reduced from 120 to 100']"
27,Earth Spirit,[u'Stone Remnant is now placed in front of you when double-clicking it'],1,0,[1],[u'is now placed in front of you when double-clicking it']
28,Earthshaker,[u'Fissure damage reduced from 125/175/225/275 to 110/160/210/260'],0,1,[-1],[u'damage reduced from 125/175/225/275 to 110/160/210/260']
29,Elder Titan,"[u'Echo Stomp area of effect increased from 475 to 500', u'Astral Spirit mana cost rescaled from 110 to 80/90/100/110', u'Astral Spirit attack damage per creep increased from 3/6/9/12 to 6/9/12/15', u'Natural Order aura sticky duration increased from 0.5 to 1.0']",4,0,"[1, 1, 1, 1]","[u'area of effect increased from 475 to 500', u'mana cost rescaled from 110 to 80/90/100/110', u'attack damage per creep increased from 3/6/9/12 to 6/9/12/15', u'aura sticky duration increased from 0.5 to 1.0']"
30,Ember Spirit,[],0,0,[],[]
31,Enchantress,"[u""Nature's Attendants wisp count increased from 3/5/7/9 to 4/6/8/10"", u'Impetus is no longer a Unique Attack Modifier']",2,0,"[1, 1]","[u'wisp count increased from 3/5/7/9 to 4/6/8/10', u'is no longer a Unique Attack Modifier']"
32,Enigma,"[u'Midnight Pulse cast time reduced from 0.2 to 0.1', u'Midnight Pulse area of effect reduced from 600 to 550', u'Black Hole radius increased from 400 to 420']",2,1,"[1, -1, 1]","[u'cast time reduced from 0.2 to 0.1', u'area of effect reduced from 600 to 550', u'radius increased from 400 to 420']"
33,Faceless Void,[],0,0,[],[]
34,Gyrocopter,"[u'Rocket Barrage damage per rocket reduced from 8/13/18/23 to 7/12/17/22\n\nTotal damage reduced from 240/390/540/690 to 210/360/510/660', u'Call Down slow no longer pierces Spell Immunity']",0,2,"[-1, -1]","[u'damage per rocket reduced from 8/13/18/23 to 7/12/17/22\n\nTotal damage reduced from 240/390/540/690 to 210/360/510/660', u'slow no longer pierces Spell Immunity']"
35,Huskar,"[u""Berserker's Blood Magic Resistance per stack reduced from 4/5/6/7 to 3/4/5/6""]",0,1,[-1],[u'Magic Resistance per stack reduced from 4/5/6/7 to 3/4/5/6']
36,Invoker,"[u'Intelligence growth increased from 3.2 to 4.0', u'Alacrity speed/damage bonus increased from 20->80 to 30->90', u""Aghanim's Scepter now adds one level to the stats provided by  Quas,  Wex, and  Exort on all Invoked spells"", u'Max level  Deafening Blast now retains its normal location targeting UI \n\nRather than it being changed to a no target cast at a certain level. This does not affect how the ability itself works.']",4,0,"[1, 1, 1, 1]","[u'Intelligence growth increased from 3.2 to 4.0', u'speed/damage bonus increased from 20->80 to 30->90', u""Aghanim's Scepter now adds one level to the stats provided by  ,  , and   on all d spells"", u'Max level   now retains its normal location targeting UI \n\nRather than it being changed to a no target cast at a certain level. This does not affect how the ability itself works.']"
37,Io,[],0,0,[],[]
38,Jakiro,"[u""Dual Breath's fiery wave now moves at the same speed as its icy wave: 850 to 1050"", u'Dual Breath damage increased from 16/26/56/76 to 20/40/60/80', u'Ice Path range increased from 1100 to 1200']",3,0,"[1, 1, 1]","[u""'s fiery wave now moves at the same speed as its icy wave: 850 to 1050"", u'damage increased from 16/26/56/76 to 20/40/60/80', u'range increased from 1100 to 1200']"
39,Juggernaut,[u'Blade Fury damage increased from 80/100/120/140 to 80/105/130/155'],1,0,[1],[u'damage increased from 80/100/120/140 to 80/105/130/155']
40,Keeper of the Light,[u'Chakra Magic spell cooldown reduction increased from 1/2/3/4 to 2/3/4/5'],1,0,[1],[u'spell cooldown reduction increased from 1/2/3/4 to 2/3/4/5']
41,Kunkka,"[u'Tidebringer damage increased from 15/30/45/60 to 20/35/50/65', u'X Marks the Spot cast range rescaled from 350/550/750/1000 to 400/600/800/1000', u'X Marks the Spot cooldown rescaled from 19/16/13/10 to 26/20/14/8', u'Ghostship cast point reduced from 0.4 to 0.3']",3,1,"[1, 1, -1, 1]","[u'damage increased from 15/30/45/60 to 20/35/50/65', u'cast range rescaled from 350/550/750/1000 to 400/600/800/1000', u'cooldown rescaled from 19/16/13/10 to 26/20/14/8', u'cast point reduced from 0.4 to 0.3']"
42,Legion Commander,"[u'Base damage increased by 4', u'Overwhelming Odds cooldown reduced from 18 to 15', u'Press the Attack cast time reduced from 0.3 to 0.2', u'Fixed Legion Commander sometimes auto-attacking nearby units after  Duel ends instead of continuing to attack the dueled target']",4,0,"[1, 1, 1, 1]","[u'Base damage increased by 4', u'cooldown reduced from 18 to 15', u'Press the Attack cast time reduced from 0.3 to 0.2', u'Fixed Legion Commander sometimes auto-attacking nearby units after   ends instead of continuing to attack the dueled target']"
43,Leshrac,"[u'Base damage reduced by 4', u'Lightning Storm jump distance reduced from 650 to 475', u'Lightning Storm damage reduced from 80/140/200/260 to 50/100/150/200']",0,3,"[-1, -1, -1]","[u'Base damage reduced by 4', u'jump distance reduced from 650 to 475', u'damage reduced from 80/140/200/260 to 50/100/150/200']"
44,Lich,"[u'Sacrifice no longer splits XP with enemies', u'Chain Frost projectile speed increased from 750 to 850', u'Chain Frost attack speed slow increased from 20 to 30 \n\nNow matches move speed slow']",3,0,"[1, 1, 1]","[u'no longer splits XP with enemies', u'projectile speed increased from 750 to 850', u'attack speed slow increased from 20 to 30 \n\nNow matches move speed slow']"
45,Lifestealer,"[u'Rage cooldown reduced from 19 to 16', u'Infest and  Control can now be used on Ancient Creeps']",2,0,"[1, 1]","[u'cooldown reduced from 19 to 16', u'and  Control can now be used on Ancient Creeps']"
46,Lina,"[u'Light Strike Array damage reduced from 120/160/200/240 to 80/120/160/200', u'Laguna Blade damage reduced from 450/675/950 to 450/650/850']",0,2,"[-1, -1]","[u'damage reduced from 120/160/200/240 to 80/120/160/200', u'damage reduced from 450/675/950 to 450/650/850']"
47,Lion,"[u""Finger of Death  Aghanim's Scepter upgrade area of effect increased from 200 to 300""]",1,0,[1],"[u""Aghanim's Scepter upgrade area of effect increased from 200 to 300""]"
48,Lone Druid,"[u'Summon Spirit Bear cooldown reduced from 180/160/140/120 to 120', u'Battle Cry bonus damage increased from 60/90/120 to 90/120/150', u'Battle Cry bonus armor increased from 6/12/18 to 10/15/20']",3,0,"[1, 1, 1]","[u'cooldown reduced from 180/160/140/120 to 120', u'bonus damage increased from 60/90/120 to 90/120/150', u'bonus armor increased from 6/12/18 to 10/15/20']"
49,Luna,"[u'Strength gain increased from 1.9 to 2.2', u'Eclipse cooldown reduced from 160/150/140 to 140', u""Eclipse  Aghanim's Scepter beam count increased from 6/10/14 to 6/12/18""]",3,0,"[1, 1, 1]","[u'Strength gain increased from 1.9 to 2.2', u'cooldown reduced from 160/150/140 to 140', u""Aghanim's Scepter beam count increased from 6/10/14 to 6/12/18""]"
50,Lycan,"[u'Strength gain increased from 2.75 to 3.0', u'Shapeshift critical strike chance increased from 30% to 30/35/40%']",2,0,"[1, 1]","[u'Strength gain increased from 2.75 to 3.0', u'critical strike chance increased from 30% to 30/35/40%']"
51,Magnus,[u'Empower cooldown reduced from 12 to 8'],1,0,[1],[u'cooldown reduced from 12 to 8']
52,Medusa,[u'Mystic Snake damage and mana steal boost per jump increased from 25% to 35%'],1,0,[1],[u'damage and mana steal boost per jump increased from 25% to 35%']
53,Meepo,[],0,0,[],[]
54,Mirana,"[u'Agility growth increased from 2.75 to 3.3', u'Starstorm secondary strike search radius increased from 325 to 425']",2,0,"[1, 1]","[u'Agility growth increased from 2.75 to 3.3', u'secondary strike search radius increased from 325 to 425']"
55,Morphling,"[u'Agility growth increased from 3 to 3.4', u'Adaptive Strike damage rescaled from 20/40/60/80 to 50/60/70/80', u'Hybrid no longer hides Morphling or restricts its usage when a  Replicate is out', u""Hybrids are visibly known to enemies\n\nSimilar to  Dark Seer's  Wall of Replica illusions""]",3,1,"[1, 1, 1, -1]","[u'Agility growth increased from 3 to 3.4', u'damage rescaled from 20/40/60/80 to 50/60/70/80', u'Hybrid no longer hides Morphling or restricts its usage when a   is out', u""Hybrids are visibly known to enemies\n\nSimilar to  Dark Seer's   illusions""]"
56,Naga Siren,"[u'Rip Tide damage rescaled from 130/160/190/220 to 100/140/180/220', u""Song of the Siren  Aghanim's Scepter heal increased from 6% to 8%""]",1,1,"[-1, 1]","[u'damage rescaled from 130/160/190/220 to 100/140/180/220', u""Aghanim's Scepter heal increased from 6% to 8%""]"
57,Nature's Prophet,"[u'Sprout cast time reduced from 0.5 to 0.35', u'Sprout mana cost reduced from 100/120/140/160 to 70/90/110/130', u""Nature's Call Treants movement speed increased from 300 to 325"", u""Nature's Call Treants vision reduced from 1200 to 1000"", u'Greater Treant Base Attack Time reduced from 1.75 to 1.0', u""Wrath of Nature  Aghanim's Scepter now applies a 4 second buff on the units it hits, which will spawn the extra treant if the unit dies during that time""]",5,1,"[1, 1, 1, -1, 1, 1]","[u'cast time reduced from 0.5 to 0.35', u'mana cost reduced from 100/120/140/160 to 70/90/110/130', u'Treants movement speed increased from 300 to 325', u'Treants vision reduced from 1200 to 1000', u'Greater Treant Base Attack Time reduced from 1.75 to 1.0', u""Aghanim's Scepter now applies a 4 second buff on the units it hits, which will spawn the extra treant if the unit dies during that time""]"
58,Necrophos,"[u'Death Pulse damage increased from 75/125/200/275 to 125/175/225/275', u'Heartstopper Aura no longer affects ancient creeps', u'Sadist health regen increased from 1/2/3/4 to 1/2/3/6', u'Sadist mana regen increased from 2/4/6/10 to 2/4/6/12']",3,1,"[1, -1, 1, 1]","[u'damage increased from 75/125/200/275 to 125/175/225/275', u'no longer affects ancient creeps', u'health regen increased from 1/2/3/4 to 1/2/3/6', u'mana regen increased from 2/4/6/10 to 2/4/6/12']"
59,Night Stalker,[u'Base health regen increased from 0.25 to 2'],1,0,[1],[u'Base health regen increased from 0.25 to 2']
60,Nyx Assassin,"[u'Burrow  Impale cooldown reduced from 9 to 7', u'Burrow  Impale and  Mana Burn bonus range increased from 50% to 75%', u'Vendetta duration increased from 25/35/50 to 40/50/60']",3,0,"[1, 1, 1]","[u'Burrow   cooldown reduced from 9 to 7', u'Burrow   and   bonus range increased from 50% to 75%', u'duration increased from 25/35/50 to 40/50/60']"
61,Ogre Magi,"[u'Base armor increased by 1', u'Bloodlust attack speed bonus increased from 20/30/40/50 to 30/40/50/60', u'Bloodlust can now be cast on towers', u'Fixed  Multicast  Bloodlust not affecting nearby Spell Immune allies \n\nCould already target them directly']",4,0,"[1, 1, 1, 1]","[u'Base armor increased by 1', u'attack speed bonus increased from 20/30/40/50 to 30/40/50/60', u'can now be cast on towers', u'Fixed     not affecting nearby Spell Immune allies \n\nCould already target them directly']"
62,Omniknight,"[u'Purification cast point reduced from 0.4 to 0.25', u'Degen Aura stickiness reduced from 2 to 1']",1,1,"[1, -1]","[u'cast point reduced from 0.4 to 0.25', u'stickiness reduced from 2 to 1']"
63,Oracle,"[u""Fortune's End cast time reduced from 0.3 to 0"", u""Fortune's End cast range increased from 650 to 850"", u""Fortune's End radius increased from 215 to 300"", u""Fortune's End damage rescaled from 75/150/225/300 to 90/120/150/180"", u""Fortune's End cooldown rescaled from 12 to 15/12/9/6"", u""Fate's Edict no longer amplifies incoming non-magical damage"", u""Fate's Edict now has normal purgability rules"", u'Purifying Flames cooldown reduced from 2.5 to 2.25']",5,3,"[1, 1, 1, -1, 1, -1, -1, 1]","[u""Fortune's End cast time reduced from 0.3 to 0"", u""Fortune's End cast range increased from 650 to 850"", u""Fortune's End radius increased from 215 to 300"", u""Fortune's End damage rescaled from 75/150/225/300 to 90/120/150/180"", u""Fortune's End cooldown rescaled from 12 to 15/12/9/6"", u""Fate's Edict no longer amplifies incoming non-magical damage"", u""Fate's Edict now has normal purgability rules"", u'Purifying Flames cooldown reduced from 2.5 to 2.25']"
64,Outworld Devourer,"[u'Strength gain increased from 1.85 to 2.3', u""Sanity's Eclipse now always removes 40% of affected heroes' max mana\n\nInstead of 75% of current mana only when under the threshold"", u""Sanity's Eclipse mana loss no longer pierces Spell Immunity\n\nMatches its damage behavior"", u""Sanity's Eclipse cast range increased from 600/650/700 to 700"", u""Sanity's Eclipse cast range is no longer increased with  Aghanim's Scepter""]",3,2,"[1, 1, -1, 1, -1]","[u'Strength gain increased from 1.85 to 2.3', u""now always removes 40% of affected heroes' max mana\n\nInstead of 75% of current mana only when under the threshold"", u'mana loss no longer pierces Spell Immunity\n\nMatches its damage behavior', u'cast range increased from 600/650/700 to 700', u""cast range is no longer increased with  Aghanim's Scepter""]"
65,Phantom Assassin,"[u""Stifling Dagger now applies your attack's on-hit effects\n\nDoes not guarantee a proc if the effect is chance-based"", u'Blur no longer has a 0.75 second delay']",2,0,"[1, 1]","[u""now applies your attack's on-hit effects\n\nDoes not guarantee a proc if the effect is chance-based"", u'no longer has a 0.75 second delay']"
66,Phantom Lancer,"[u'Agility growth reduced from 3 to 2.6', u'Doppelganger cast time increased from 0 to 0.1']",0,2,"[-1, -1]","[u'Agility growth reduced from 3 to 2.6', u'Doppelganger cast time increased from 0 to 0.1']"
67,Phoenix,[u'Sun Ray max health damage per second increased from 1/2/3/4% to 1.25/2.5/3.75/5%\n\nHeal per second is half these values'],1,0,[1],[u'max health damage per second increased from 1/2/3/4% to 1.25/2.5/3.75/5%\n\nHeal per second is half these values']
68,Puck,"[u'Illusory Orb speed increased from 600 to 650\n\nTravel distance increased from 1800 to 1950 to keep the total duration the orb is alive the same', u'Illusory Orb cooldown reduced from 12 to 11 seconds', u'Dream Coil cooldown reduced from 85 to 75']",3,0,"[1, 1, 1]","[u'speed increased from 600 to 650\n\nTravel distance increased from 1800 to 1950 to keep the total duration the orb is alive the same', u'cooldown reduced from 12 to 11 seconds', u'cooldown reduced from 85 to 75']"
69,Pudge,"[u'Rot damage rescaled from 35/60/85/110 to 30/60/90/120', u'Rot move slow increased from 20/22/24/26% to 27%', u'Fixed  Dismember sometimes not granting True Sight over the target properly']",2,0,"[1, 1, 1]","[u'damage rescaled from 35/60/85/110 to 30/60/90/120', u'move slow increased from 20/22/24/26% to 27%', u'Fixed   sometimes not granting True Sight over the target properly']"
70,Pugna,"[u'Base movement speed increased from 320 to 330', u'Nether Ward is now placed at the target location using a 150 cast range ability\n\nInstead of placing 150 units in front of his facing direction. Using double click will immediately place it infront of you.', u'Life Drain damage/steal per second increased from 150/185/220 to 150/200/250']",3,0,"[1, 1, 1]","[u'Base movement speed increased from 320 to 330', u'is now placed at the target location using a 150 cast range ability\n\nInstead of placing 150 units in front of his facing direction. Using double click will immediately place it infront of you.', u'damage/steal per second increased from 150/185/220 to 150/200/250']"
71,Queen of Pain,"[u""Sonic Wave damage reduced from 290/390/490 to 290/380/470 ( Aghanim's Scepter damage reduced from 325/450/575 to 325/440/555)""]",0,1,[1],"[u""damage reduced from 290/390/490 to 290/380/470 ( Aghanim's Scepter damage reduced from 325/450/575 to 325/440/555)""]"
72,Razor,[u'Static Link now drains damage smoothly over its duration rather than every second'],1,0,[1],[u'now drains damage smoothly over its duration rather than every second']
73,Riki,[u'Permanent Invisibility health regen increased from 4/5/6/7 to 6/8/10/12'],1,0,[1],[u'health regen increased from 4/5/6/7 to 6/8/10/12']
74,Rubick,[],0,0,[],[]
75,Sand King,"[u'Caustic Finale debuff expire damage increased from 30% to 50%', u'Caustic Finale debuff slow increased from 20% to 25%']",2,0,"[1, 1]","[u'debuff expire damage increased from 30% to 50%', u'debuff slow increased from 20% to 25%']"
76,Shadow Demon,[u'Shadow Poison cooldown reduced from 2.75 to 2.5'],1,0,[1],[u'cooldown reduced from 2.75 to 2.5']
77,Shadow Fiend,[],0,0,[],[]
78,Shadow Shaman,"[u'Shackles cooldown reduced from 16 to 10', u'Shackles total damage increased from 120/160/160/200 to 120/180/240/300', u'Fixed  Shackles sometimes not granting True Sight over the target properly']",2,0,"[1, 1, 1]","[u'cooldown reduced from 16 to 10', u'total damage increased from 120/160/160/200 to 120/180/240/300', u'Fixed   sometimes not granting True Sight over the target properly']"
79,Silencer,[u'Fixed  Last Word countdown debuff not being purgeable'],0,1,[-1],[u'Fixed   countdown debuff not being purgeable']
80,Skywrath Mage,"[u'Concussive Shot cooldown reduced from 20/18/16/14 to 18/16/14/12', u'Mystic Flare no longer splits its damage over Spell Immune heroes']",2,0,"[1, 1]","[u'cooldown reduced from 20/18/16/14 to 18/16/14/12', u'no longer splits its damage over Spell Immune heroes']"
81,Slardar,"[u'Sprint now provides phased movement', u'Sprint cooldown reduced from 23 to 17', u'Sprint duration reduced from 16 to 12']",2,1,"[1, 1, -1]","[u'now provides phased movement', u'cooldown reduced from 23 to 17', u'duration reduced from 16 to 12']"
82,Slark,[],0,0,[],[]
83,Sniper,[u'Shrapnel delay reduced from 1.4 to 1.2 seconds'],1,0,[1],[u'delay reduced from 1.4 to 1.2 seconds']
84,Spectre,"[u'Desolate now works on non-hero units if they are alone', u'Dispersion now reflects damage before reductions and returns it as the same damage type\n\nRather than as Pure damage after reduction']",2,0,"[1, 1]","[u'now works on non-hero units if they are alone', u'now reflects damage before reductions and returns it as the same damage type\n\nRather than as Pure damage after reduction']"
85,Spirit Breaker,[u'Greater Bash now uses pseudo random chance'],0,1,[-1],[u'Greater  now uses pseudo random chance']
86,Storm Spirit,"[u'Static Remnant mana cost increased from 70/80/90/100 to 100', u'Static Remnant unobstructed vision reduced from 800 to 600', u'Ball Lightning base mana cost increased from 15 + 7% to 30 + 8%']",0,3,"[-1, -1, -1]","[u'mana cost increased from 70/80/90/100 to 100', u'unobstructed vision reduced from 800 to 600', u'base mana cost increased from 15 + 7% to 30 + 8%']"
87,Sven,"[u'Base intelligence increased by 2', u'Great Cleave damage increased from 20/35/50/65 to 30/42/54/66%']",2,0,"[1, 1]","[u'Base intelligence increased by 2', u'damage increased from 20/35/50/65 to 30/42/54/66%']"
88,Techies,"[u""Techies' mines are no longer triggered when destroyed"", u""Techies' mines can now be destroyed using  Quelling Blade/ Battle Fury\n\nSame range as wards: 450"", u""Techies' mines now provide 10 Gold for destroying them"", u'Land Mines cooldown and mana cost reduced by 50%', u'Land Mines damage reduced by 50%', u'Land Mines no longer have a max count', u'Land Mines and  Stasis Traps no longer block neutral spawns', u'Land Mines no longer stack exactly on top of each other\n\n They can still be very close though']",2,6,"[-1, -1, -1, 1, -1, 1, -1, -1]","[u""Techies' mines are no longer triggered when destroyed"", u""Techies' mines can now be destroyed using  Quelling Blade/ Battle Fury\n\nSame range as wards: 450"", u""Techies' mines now provide 10 Gold for destroying them"", u'Land Mines cooldown and mana cost reduced by 50%', u'Land Mines damage reduced by 50%', u'Land Mines no longer have a max count', u'Land Mines and  Stasis s no longer block neutral spawns', u'Land Mines no longer stack exactly on top of each other\n\n They can still be very close though']"
89,Templar Assassin,[],0,0,[],[]
90,Terrorblade,"[u'Temporarily removed from Captains Mode', u'Reflection now affects all enemy heroes in a 900 area of effect\n\nWill not affect units that are in fog or who are invisible', u'Reflection attack and move slow reduced from 60% to 25%', u'Reflection cooldown rescaled from 22/18/14/10 to 22/20/18/16', u""Conjure Image illusions are known as illusions to enemies\n\nSimilar to  Dark Seer's  Wall of Replica illusions"", u'Conjure Image cast point reduced from 0.5 to 0.15', u'Metamorphosis now emits a 900 range aura that affects his nearby illusions, causing them to match his current form', u'Sunder cast range increased from 325 to 550', u'Sunder minimum health increased from 20 to 25%']",5,4,"[-1, 1, -1, -1, -1, 1, 1, 1, 1]","[u'Temporarily removed from Captains Mode', u'now affects all enemy heroes in a 900 area of effect\n\nWill not affect units that are in fog or who are invisible', u'attack and move slow reduced from 60% to 25%', u'cooldown rescaled from 22/18/14/10 to 22/20/18/16', u""illusions are known as illusions to enemies\n\nSimilar to  Dark Seer's   illusions"", u'cast point reduced from 0.5 to 0.15', u'now emits a 900 range aura that affects his nearby illusions, causing them to match his current form', u'cast range increased from 325 to 550', u'minimum health increased from 20 to 25%']"
91,Tidehunter,[u'Gush armor reduction increased from 2/3/4/5 to 3/4/5/6'],1,0,[1],[u'armor reduction increased from 2/3/4/5 to 3/4/5/6']
92,Timbersaw,[u'Whirling Death cooldown reduced from 8 to 6'],1,0,[1],[u'cooldown reduced from 8 to 6']
93,Tinker,[u'Rearm channel time reduced from 3/2/1 to 3/1.5/0.75'],1,0,[1],[u'channel time reduced from 3/2/1 to 3/1.5/0.75']
94,Tiny,"[u'Base strength increased from 24 to 26', u'Base intelligence increased from 14 to 17']",2,0,"[1, 1]","[u'Base strength increased from 24 to 26', u'Base intelligence increased from 14 to 17']"
95,Treant Protector,[u'Leech Seed mana cost reduced from 140 to 100/110/120/130'],1,0,[1],[u'mana cost reduced from 140 to 100/110/120/130']
96,Troll Warlord,[u'Fervor attack speed per stack increased from 16/22/28/34 to 20/25/30/35'],1,0,[1],[u'attack speed per stack increased from 16/22/28/34 to 20/25/30/35']
97,Tusk,"[u'Ice Shards mana cost increased from 90 to 100/105/110/115', u'Snowball max launch time reduced from 4 to 3 seconds', u'Frozen Sigil no longer goes through Spell Immunity', u""Aghanim's Scepter  Walrus Kick now deals 200 damage""]",1,3,"[-1, -1, -1, 1]","[u'mana cost increased from 90 to 100/105/110/115', u'max launch time reduced from 4 to 3 seconds', u'no longer goes through Spell Immunity', u""Aghanim's Scepter  Walrus Kick now deals 200 damage""]"
