"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"clinkz","Clinkz","4.3","4.8","9.2","68","76","144"
"abaddon","Abaddon","4.8","4.1","8.9","76","64","140"
"enigma","Enigma","5.6","3.3","8.9","88","52","140"
"faceless_void","Faceless Void","4.1","4.0","8.1","64","63","127"
"skeleton_king","Wraith King","5.9","2.2","8.1","93","34","127"
"lion","Lion","6.4","0.9","7.3","101","14","115"
"leshrac","Leshrac","5.4","1.7","7.0","84","26","110"
"antimage","Anti Mage","3.6","3.3","6.9","56","52","108"
"axe","Axe","4.8","2.0","6.8","76","31","107"
"tiny","Tiny","5.2","1.5","6.8","82","24","106"
"bounty_hunter","Bounty Hunter","3.5","2.4","5.9","55","38","93"
"windrunner","Windranger","4.7","0.6","5.4","74","10","84"
"magnataur","Magnus","4.2","1.0","5.2","66","16","82"
"queenofpain","Queen of Pain","3.6","1.5","5.1","57","23","80"
"brewmaster","Brewmaster","3.0","2.1","5.1","47","33","80"
"drow_ranger","Drow Ranger","2.9","2.0","4.8","45","31","76"
"juggernaut","Juggernaut","2.2","2.2","4.4","35","34","69"
"beastmaster","Beastmaster","3.2","1.0","4.2","50","16","66"
"razor","Razor","2.7","1.3","4.0","42","21","63"
"night_stalker","Night Stalker","2.3","1.3","3.6","36","20","56"
"silencer","Silencer","2.7","0.8","3.4","42","12","54"
"jakiro","Jakiro","2.3","0.4","2.7","36","7","43"
"witch_doctor","Witch Doctor","2.3","0.4","2.7","36","6","42"
"tidehunter","Tidehunter","2.0","0.6","2.6","32","9","41"
"ursa","Ursa","1.7","0.8","2.5","27","12","39"
"sniper","Sniper","1.8","0.5","2.4","29","8","37"
"keeper_of_the_light","Keeper of the Light","1.5","0.8","2.3","24","12","36"
"kunkka","Kunkka","1.7","0.6","2.3","26","10","36"
"tusk","Tusk","1.6","0.4","2.0","25","6","31"
"meepo","Meepo","1.1","0.6","1.7","17","9","26"
"phantom_lancer","Phantom Lancer","1.3","0.4","1.7","20","7","27"
"sven","Sven","1.2","0.3","1.5","19","5","24"
"zuus","Zeus","1.1","0.3","1.3","17","4","21"
"chaos_knight","Chaos Knight","0.8","0.5","1.3","13","8","21"
"undying","Undying","0.8","0.4","1.2","13","6","19"
"pudge","Pudge","1.0","0.1","1.1","16","2","18"
"skywrath_mage","Skywrath Mage","1.0","0.2","1.1","15","3","18"
"lina","Lina","0.8","0.1","0.9","13","1","14"
"omniknight","Omniknight","0.6","0.2","0.8","9","3","12"
"warlock","Warlock","0.6","0.0","0.6","9","0","9"
"medusa","Medusa","0.3","0.3","0.6","5","4","9"
"bloodseeker","Bloodseeker","0.4","0.1","0.5","7","1","8"
"riki","Riki","0.4","0.1","0.5","7","1","8"
"huskar","Huskar","0.3","0.1","0.4","5","1","6"
"ogre_magi","Ogre Magi","0.3","0.1","0.4","4","2","6"
"troll_warlord","Troll Warlord","0.4","0.0","0.4","6","0","6"
"necrolyte","Necrophos","0.1","0.1","0.3","2","2","4"
"spirit_breaker","Spirit Breaker","0.1","0.1","0.2","2","1","3"
"phantom_assassin","Phantom Assassin","0.1","0.0","0.1","2","0","2"
